,Ссылка,Комнаты,Цена,Цена за метр,Метро,Время до метро(мин),Площадь(м2),Максимальный этаж,Этаж,Тип строения,Тип жилья
152,https://www.cian.ru/sale/flat/301860054/,1,10000000,259067,Кунцевская,8,38.6,22,22,Квартира,Вторичка
153,https://www.cian.ru/sale/flat/301860045/,2,17000000,350515,Дмитровская,5,48.5,8,7,Квартира,Вторичка
154,https://lobnya.cian.ru/sale/flat/301860024/,2,6000000,154242,Физтех,18,38.9,5,1,Квартира,Вторичка
155,https://www.cian.ru/sale/flat/301859977/,1,10200000,291429,Преображенская площадь,18,35,9,8,Квартира,Вторичка
156,https://odintsovo.cian.ru/sale/flat/301859964/,1,9100000,284375,Сколково,18,32,25,18,Квартира,Вторичка
157,https://www.cian.ru/sale/flat/301859874/,2,17500000,386313,Ленинский проспект,14,45.3,9,6,Квартира,Вторичка
158,https://www.cian.ru/sale/flat/301859872/,3,18980000,371429,Давыдково,4,51.1,14,12,Апартаменты,Новостройка
159,https://www.cian.ru/sale/flat/301859610/,1,18400000,500000,Тульская,20,36.8,24,13,Апартаменты,Вторичка
160,https://www.cian.ru/sale/flat/301859565/,3,34900000,436250,Народное Ополчение,12,80,17,4,Квартира,Вторичка
161,https://www.cian.ru/sale/flat/301859522/,4,100000000,595238,Деловой центр,3,168,85,30,Апартаменты,Вторичка
162,https://www.cian.ru/sale/flat/301859515/,3,14800000,274074,Новогиреево,18,54,9,4,Квартира,Вторичка
163,https://www.cian.ru/sale/flat/301859456/,1,14500000,377604,Солнцево,13,38.4,19,3,Квартира,Вторичка
164,https://dolgoprudny.cian.ru/sale/flat/301859438/,2,10700000,204589,Ховрино,12,52.3,24,13,Квартира,Вторичка
165,https://www.cian.ru/sale/flat/301859405/,3,24200000,322667,Озёрная,6,75,17,16,Квартира,Вторичка
166,https://www.cian.ru/sale/flat/301859404/,1,12999999,351351,Озёрная,14,37,33,29,Квартира,Новостройка
167,https://krasnogorsk.cian.ru/sale/flat/301859403/,2,15900000,260656,Опалиха,5,61,8,1,Квартира,Вторичка
168,https://www.cian.ru/sale/flat/301859380/,2,16100000,365909,Варшавская,5,44,14,14,Квартира,Вторичка
169,https://www.cian.ru/sale/flat/301859353/,1,17000000,435897,Нижегородская,9,39,25,21,Квартира,Вторичка
170,https://www.cian.ru/sale/flat/301859325/,2,22500000,401070,Аэропорт,10,56.1,12,5,Квартира,Вторичка
171,https://odintsovo.cian.ru/sale/flat/301859256/,3,16000000,177976,Кунцевская,15,89.9,20,12,Квартира,Вторичка
172,https://www.cian.ru/sale/flat/301859253/,2,25500000,314815,Митино,8,81,25,22,Квартира,Вторичка
173,https://www.cian.ru/sale/flat/301859242/,2,16000000,365297,Савёловская,9,43.8,9,4,Квартира,Вторичка
174,https://www.cian.ru/sale/flat/301859241/,2,21500000,290541,Царицыно,5,74,17,5,Квартира,Вторичка
175,https://www.cian.ru/sale/flat/301859223/,2,25900000,445017,Аминьевская,7,58.2,25,5,Квартира,Вторичка
176,https://www.cian.ru/sale/flat/301859215/,2,9990000,223991,Волжская,15,44.6,9,1,Квартира,Вторичка
177,https://www.cian.ru/sale/flat/301859213/,3,20990000,289118,Кантемировская,8,72.6,17,2,Квартира,Вторичка
178,https://balashikha.cian.ru/sale/flat/301859212/,2,8900000,139062,Новокосино,16,64,17,1,Квартира,Вторичка
179,https://www.cian.ru/sale/flat/301859208/,1,10500000,272727,Новокосино,10,38.5,14,2,Квартира,Вторичка
180,https://www.cian.ru/sale/flat/301859197/,2,11500000,261364,Улица Академика Янгеля,15,44,9,2,Квартира,Вторичка
181,https://www.cian.ru/sale/flat/301859190/,2,19100000,318333,Новаторская,16,60,22,16,Квартира,Вторичка
182,https://www.cian.ru/sale/flat/301859177/,2,24700000,643229,Технопарк,2,38.4,26,19,Апартаменты,Вторичка
183,https://www.cian.ru/sale/flat/301859155/,1,11300000,322857,Октябрьское поле,12,35,14,2,Квартира,Вторичка
184,https://www.cian.ru/sale/flat/301859132/,1,5297000,407462,Нагорная,6,13,4,3,Апартаменты,Вторичка
185,https://www.cian.ru/sale/flat/301859098/,3,16050000,258039,Алтуфьево,10,62.2,9,3,Квартира,Вторичка
186,https://www.cian.ru/sale/flat/301859004/,3,15800000,270085,Красногвардейская,7,58.5,9,5,Квартира,Вторичка
187,https://www.cian.ru/sale/flat/301859005/,3,25800000,262195,Кожуховская,1,98.4,5,2,Квартира,Вторичка
188,https://www.cian.ru/sale/flat/301858873/,1,12500000,357143,Зюзино,5,35,12,7,Квартира,Вторичка
189,https://www.cian.ru/sale/flat/301858752/,2,43000000,605634,Павелецкая,6,71,5,3,Квартира,Вторичка
190,https://www.cian.ru/sale/flat/301858656/,2,15000000,337079,Давыдково,8,44.5,9,4,Квартира,Вторичка
191,https://www.cian.ru/sale/flat/301858607/,3,71500000,595833,Деловой центр,6,120,78,38,Апартаменты,Вторичка
192,https://www.cian.ru/sale/flat/301858571/,2,17500000,299658,Домодедовская,6,58.4,22,4,Квартира,Вторичка
193,https://krasnogorsk.cian.ru/sale/flat/301858554/,1,5500000,214008,Митино,13,25.7,25,17,Квартира,Вторичка
194,https://www.cian.ru/sale/flat/301858550/,2,55000000,916667,Деловой центр,6,60,78,42,Апартаменты,Вторичка
195,https://www.cian.ru/sale/flat/301858503/,3,49500000,522703,Чистые пруды,2,94.7,6,6,Квартира,Вторичка
196,https://www.cian.ru/sale/flat/301858499/,2,12950000,323750,Щукинская,10,40,12,10,Квартира,Вторичка
197,https://www.cian.ru/sale/flat/301858488/,1,14850000,396000,Аминьевская,5,37.5,17,16,Квартира,Вторичка
198,https://www.cian.ru/sale/flat/301858486/,1,8549000,243561,Домодедовская,19,35.1,9,6,Квартира,Вторичка
199,https://www.cian.ru/sale/flat/301858458/,3,33990000,515000,Аминьевская,7,66,43,7,Квартира,Вторичка
200,https://balashikha.cian.ru/sale/flat/301858456/,3,12600000,153659,Железнодорожная,6,82,18,12,Квартира,Вторичка
201,https://www.cian.ru/sale/flat/301858452/,1,8800000,227979,Щёлковская,5,38.6,14,14,Квартира,Вторичка
202,https://krasnogorsk.cian.ru/sale/flat/301858402/,1,9700000,229314,Волоколамская,16,42.3,23,16,Квартира,Вторичка
203,https://www.cian.ru/sale/flat/301858401/,2,18900000,310855,Тушинская,8,60.8,26,20,Квартира,Новостройка
204,https://balashikha.cian.ru/sale/flat/301858372/,2,8500000,123188,Кучино,17,69,17,13,Квартира,Вторичка
